name,link,bio,image
"BEST OF ME, THE",https://cinando.com/en/Film/best_of_me_the_484975/Detail,,
FREE BIRDS,https://cinando.com/en/Film/free_birds_484974/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
Family - Completed 2013

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
FREE BIRDS
Summary
Distributors
Company credits
Year of production
2013
Year of production
2013
Genres
Family, Comedy, Animation
Genres
Family, Comedy, Animation
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Duration
91 mn
Duration
91 mn
Director(s)
Jimmy HAYWARD
Director(s)
Jimmy HAYWARD
Cast
Owen WILSON
,
Woody  HARRELSON
,
Amy POEHLER
Cast
Owen WILSON
,
Woody  HARRELSON
,
Amy POEHLER
Synopsis
In this irreverent, hilarious, adventurous buddy comedy for audiences of all ages, directed by Jimmy Hayward (Horton Hears a Who!), two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history - and get turkey off the holiday menu for good.
Synopsis
In this irreverent, hilarious, adventurous buddy comedy for audiences of all ages, directed by Jimmy Hayward (Horton Hears a Who!), two turkeys from opposite sides of the tracks must put aside their differences and team up to travel back in time to change the course of history - and get turkey off the holiday menu for good.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450773.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
FREELANCE,https://cinando.com/en/Film/freelance_484973/Detail,"RELATIVITY MEDIA
- as
PROD
Comedy - Completed 2022

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
FREELANCE
Summary
Distributors
Company credits
Year of production
2022
Year of production
2022
Genres
Comedy, Action/Adventure
Genres
Comedy, Action/Adventure
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Duration
108 mn
Duration
108 mn
Director(s)
David MOREL
Director(s)
David MOREL
Cast
John CENA
,
Alison BRIE
,
Juan Pablo RABA
Cast
John CENA
,
Alison BRIE
,
Juan Pablo RABA
Synopsis
An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but when a military coup breaks out in the middle of the interview, they are forced to escape into the jungle.
Synopsis
An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but when a military coup breaks out in the middle of the interview, they are forced to escape into the jungle.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450770.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
ACT OF VALOR,https://cinando.com/en/Film/act_of_valor_484972/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
Action/Adventure - Completed 2012

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
ACT OF VALOR
Summary
Distributors
Company credits
Year of production
2012
Year of production
2012
Genres
Action/Adventure, Drama
Genres
Action/Adventure, Drama
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Duration
110 mn
Duration
110 mn
Director(s)
Mike MCCOY, Scott WAUGH
Director(s)
Mike MCCOY, Scott WAUGH
Cast
Roselyn SANCHEZ
,
Alex VEADOV
Cast
Roselyn SANCHEZ
,
Alex VEADOV
Synopsis
When its latest mission leads to the discovery of a deadly terrorist plot against the U.S., an elite team of Navy SEALs sets out on a global manhunt. As the men of Bandito Platoon race to stop an attack that could kill or maim thousands of American civilians, they must balance their commitment to their duty and family back home. Each new piece of intelligence they gather reveals a shocking twist to the plot as they track the terrorist ring to the U.S.- Mexico border.
Synopsis
When its latest mission leads to the discovery of a deadly terrorist plot against the U.S., an elite team of Navy SEALs sets out on a global manhunt. As the men of Bandito Platoon race to stop an attack that could kill or maim thousands of American civilians, they must balance their commitment to their duty and family back home. Each new piece of intelligence they gather reveals a shocking twist to the plot as they track the terrorist ring to the U.S.- Mexico border.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450759.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
EARTH TO ECHO,https://cinando.com/en/Film/earth_to_echo_484971/Detail,,
MIRROR MIRROR,https://cinando.com/en/Film/mirror_mirror_484970/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
Fantasy - Completed 2012

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
MIRROR MIRROR
Summary
Distributors
Company credits
Year of production
2012
Year of production
2012
Genres
Fantasy, Comedy, Family
Genres
Fantasy, Comedy, Family
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Duration
106 mn
Duration
106 mn
Director(s)
Tarsem SINGH
Director(s)
Tarsem SINGH
Cast
Julia ROBERTS
,
Lilly COLLINS
,
Armie HAMMER
,
Nathan LANE
Cast
Julia ROBERTS
,
Lilly COLLINS
,
Armie HAMMER
,
Nathan LANE","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450747.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
"FAMILY, THE (AKA MALAVITA)",https://cinando.com/en/Film/family_the_aka_malavita_484969/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
Comedy - Completed 2013

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
FAMILY, THE (AKA MALAVITA)
Summary
Distributors
Company credits
Year of production
2013
Year of production
2013
Genres
Comedy, Crime
Genres
Comedy, Crime
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Director(s)
Besson LUC
Director(s)
Besson LUC
Cast
Robert DE NIRO
,
Michelle PFEIFFER
,
Tommy LEE JONES
,
Diana AGRON
Cast
Robert DE NIRO
,
Michelle PFEIFFER
,
Tommy LEE JONES
,
Diana AGRON
Synopsis
The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the Witness Protection Program, where fitting in soon becomes challenging, as their old habits die hard.
Synopsis
The Manzoni family, a notorious mafia clan, is relocated to Normandy, France under the Witness Protection Program, where fitting in soon becomes challenging, as their old habits die hard.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450744.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
DISAPPOINTMENTS ROOM THE,https://cinando.com/en/Film/disappointments_room_the_484968/Detail,"RELATIVITY MEDIA
- as
DISTR
Theatrical, TV, DVD-video, VOD, Airline, World
/
PROD
Horror - Completed 2015

Companies
People
Films
Festivals
News
JOB SEARCH
Home
RELATIVITY MEDIA
DISAPPOINTMENTS ROOM THE
Summary
Distributors
Company credits
Year of production
2015
Year of production
2015
Genres
Horror, Thriller
Genres
Horror, Thriller
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Director(s)
D.j. CARUSO
Director(s)
D.j. CARUSO
Cast
Kate BECKINSALE
,
Lusas TILL
,
Mel RAIDO
Cast
Kate BECKINSALE
,
Lusas TILL
,
Mel RAIDO
Synopsis
Dana, her husband David and their 5-year-old son Lucas start a new life after moving from the hustle and bustle of Brooklyn, NY, to a stately old manor in the quiet countryside. After settling in, Dana starts to experience terrifying visions and dreams that she cannot explain. The mystery grows when she stumbles upon a secret room in the attic. After finding the key and unlocking the door, Dana discovers the dark history of the family that lived there in the 19th century.
Synopsis
Dana, her husband David and their 5-year-old son Lucas start a new life after moving from the hustle and bustle of Brooklyn, NY, to a stately old manor in the quiet countryside. After settling in, Dana starts to experience terrifying visions and dreams that she cannot explain. The mystery grows when she stumbles upon a secret room in the attic. After finding the key and unlocking the door, Dana discovers the dark history of the family that lived there in the 19th century.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450731.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
BROTHERS,https://cinando.com/en/Film/brothers_484967/Detail,,
THE FRENCH INHERITANCE,https://cinando.com/en/Film/the_french_inheritance_484965/Detail,"BRIDGE OF PEACE FILM FESTIVAL
- as
CONS
Book adaptation - Pre-Production 2025
In a thrilling cross-border chase from Bulgaria to France, a desperate single mother, targeted by a corrupt banker and his gang, discovers hope, love, and a fortune that could change her life forever.
Companies
People
Films
Festivals
News
JOB SEARCH
Home
BRIDGE OF PEACE FILM FESTIVAL
THE FRENCH INHERITANCE
Summary
Distributors
Company credits
Year of production
2025
Year of production
2025
Genres
Book adaptation, Romance, Action/Adventure
Genres
Book adaptation, Romance, Action/Adventure
Countries
FRANCE, SPAIN, BULGARIA
Countries
FRANCE, SPAIN, BULGARIA
Languages
FRENCH, ENGLISH
Languages
FRENCH, ENGLISH
Budget
5 - 10 M$
Budget
5 - 10 M$
Duration
100 mn
Duration
100 mn
Cast
Vincent PEREZ
Cast
Vincent PEREZ
Synopsis
In 2020, Princess Elena Malysheva of Biarritz leaves her €200 millions fortune to her great-niece, Tatyana, a 38-year-old mother of two living in Bulgaria. Facing financial ruin and despair after her husband abandons her, Tatyana learns of the inheritance just as she contemplates suicide. The large sum draws the attention of a corrupt Bulgarian bank director, who orders her elimination.
Emanuel, a former Foreign Legion officer, is sent to protect her, but both become targets of local gangsters. After several dangerous chases, they escape to Turkey and Spain with Tatyana's children. As they face external threats, Emanuel and Tatyana develop a deep bond. The story concludes in France, where Tatyana claims her inheritance, and finds love and a future she never dreamed of.
Synopsis
In 2020, Princess Elena Malysheva of Biarritz leaves her €200 millions fortune to her great-niece, Tatyana, a 38-year-old mother of two living in Bulgaria. Facing financial ruin and despair after her husband abandons her, Tatyana learns of the inheritance just as she contemplates suicide. The large sum draws the attention of a corrupt Bulgarian bank director, who orders her elimination.
Emanuel, a former Foreign Legion officer, is sent to protect her, but both become targets of local gangsters. After several dangerous chases, they escape to Turkey and Spain with Tatyana's children. As they face external threats, Emanuel and Tatyana develop a deep bond. The story concludes in France, where Tatyana claims her inheritance, and finds love and a future she never dreamed of.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450672.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
LONGEVITY HACKERS,https://cinando.com/en/Film/longevity_hackers_484964/Detail,"ARCHSTONE ENTERTAINMENT
- as
SALES
All rights, World
Documentary - Completed 2024
Explores the latest longevity research and whether dramatically extended human lifespan is achievable. Features top scientists, startup leaders, celebrities, and critics offering balanced perspectives on this fascinating field.
Companies
People
Films
Festivals
News
JOB SEARCH
Home
ARCHSTONE ENTERTAINMENT
LONGEVITY HACKERS
Summary
Distributors
Company credits
Year of production
2024
Year of production
2024
Genres
Documentary
Genres
Documentary
Countries
USA
Countries
USA
Director(s)
Michal SIEWIERSKI
Director(s)
Michal SIEWIERSKI
Cast
Edward NORTON
,
Mark CUBAN
,
Tony HAWK
,
Anthony ROBBINS
,
Steve AOKI
,
Chris BUMSTEAD
,
Wim HOF
Cast
Edward NORTON
,
Mark CUBAN
,
Tony HAWK
,
Anthony ROBBINS
,
Steve AOKI
,
Chris BUMSTEAD
,
Wim HOF","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450668.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
YOU GOTTA BELIEVE,https://cinando.com/en/Film/you_gotta_believe_484963/Detail,"ARCHSTONE ENTERTAINMENT
- as
SALES
All rights, World
Drama - Completed 2024
Based on a true story, a Little League baseball team of misfits dedicate their season to a player's dying father. In doing so, they accomplish the impossible by reaching the World Series finals in a game that became an ESPN instant classic.
Companies
People
Films
Festivals
News
JOB SEARCH
Home
ARCHSTONE ENTERTAINMENT
YOU GOTTA BELIEVE
Summary
Distributors
Company credits
Year of production
2024
Year of production
2024
Genres
Drama
Genres
Drama
Countries
USA
Countries
USA
Languages
ENGLISH
Languages
ENGLISH
Director(s)
Ty ROBERTS
Director(s)
Ty ROBERTS
Cast
Luke WILSON
,
Greg KINNEAR
Cast
Luke WILSON
,
Greg KINNEAR","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450664.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
ONE DAY IN A LIFE,https://cinando.com/en/Film/one_day_in_a_life_484949/Detail,,
EVERYBODY LOVES TOUDA _ENGLISH SUB,https://cinando.com/en/Film/everybody_loves_touda__english_sub_484946/Detail,"LES FILMS DU NOUVEAU MONDE
- as
PROD
Drama - Completed 2024
Touda is a Sheikha, a traditional Moroccan singer. Performing in the bars of her provincial town under the gaze of men, she plans to leave for the lights of Casablanca, to gain recognition and ensure a better future for her son.
Companies
People
Films
Festivals
News
JOB SEARCH
Home
LES FILMS DU NOUVEAU MONDE
EVERYBODY LOVES TOUDA _ENGLISH SUB
Summary
Distributors
Company credits
Year of production
2024
Year of production
2024
Genres
Drama
Genres
Drama
Countries
MOROCCO
Countries
MOROCCO
Languages
ARABIC
Languages
ARABIC
Duration
102 mn
Duration
102 mn","['https://dauvsy92u4wdt.cloudfront.net/fit-in/267x388/prod/film/2450578.jpg?width=267&height=388&404=noimg_film_poster.png?width=267&height=388&404=noimg_film_poster.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggePhotos.png', 'https://cinando.com/Content/images/NonLogge/FicheFilmNonLoggeDocsAndLinks.png']"
