name,link,bio,image
Yousef A. AL NABI,https://cinando.com/en/People/a_al_nabi_yousef_749588/Detail,"Producer
Companies
People
Films
Festivals
News
JOB SEARCH
Home
BAYT AL SHAWAREB
Yousef A. AL NABI
Find me","['https://cinando.com/en/People/image/749588', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Akesh A. ANAND,https://cinando.com/en/People/a_anand_akesh_663313/Detail,"CO DIRECTOR
Companies
People
Films
Festivals
News
JOB SEARCH
Home
ANTENNA ENTERTAINMENTS SDN. BHD.
Akesh A. ANAND
Find me","['https://cinando.com/en/People/image/663313', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/378708.jpg?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
José A. BOSCH,https://cinando.com/en/People/a_bosch_jose_673895/Detail,"Director de contenido
Companies
People
Films
Festivals
News
JOB SEARCH
Home
RAMEN STUDIO
José A. BOSCH
Find me","['https://cinando.com/en/People/image/673895', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Lee Lee A.,https://cinando.com/en/People/a_lee_lee_681417/Detail,"Founder
Production
Companies
People
Films
Festivals
News
JOB SEARCH
Home
BIONIC FILMS
Lee Lee A.","['https://cinando.com/en/People/image/681417', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Richard A. WOLFF,https://cinando.com/en/People/a_wolff_richard_58418/Detail,"CEO, Co-President
Buyer Intl & Domestic
, Sales
Companies
People
Films
Festivals
News
JOB SEARCH
Home
BREAKING GLASS PICTURES
Richard A. WOLFF
Find me","['https://cinando.com/en/People/image/58418', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/1606467.jpg?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Call via Skype,skype:richard-wolff?userinfo,,
Calvo A.D.,https://cinando.com/en/People/ad_calvo_278868/Detail,"Filmmaker
Production
Companies
People
Films
Festivals
News
JOB SEARCH
Home
GOODNIGHT FILM, LLC
Calvo A.D.","['https://cinando.com/en/People/image/278868', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/1563510.png?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Naren AA HENRY,https://cinando.com/en/People/aa_henry_naren_795567/Detail,"Creative Director
Production
Companies
People
Films
Festivals
News
JOB SEARCH
Home
@SHADOW MAGIC STUDIOS
Naren AA HENRY","['https://cinando.com/en/People/image/795567', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/2385097.png?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Houston AA JONES,https://cinando.com/en/People/aa_jones_houston_730296/Detail,"VP
Production
Companies
People
Films
Festivals
News
JOB SEARCH
Home
@SHADOW MAGIC STUDIOS
Houston AA JONES
Find me","['https://cinando.com/en/People/image/730296', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/2385097.png?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Atkin AA KORKIS,https://cinando.com/en/People/aa_korkis_atkin_795559/Detail,"President
Production
Companies
People
Films
Festivals
News
JOB SEARCH
Home
@SHADOW MAGIC STUDIOS
Atkin AA KORKIS","['https://cinando.com/en/People/image/795559', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/2385097.png?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Jordan AA MALTBY,https://cinando.com/en/People/aa_maltby_jordan_795566/Detail,"CEO
Production
Companies
People
Films
Festivals
News
JOB SEARCH
Home
@SHADOW MAGIC STUDIOS
Jordan AA MALTBY","['https://cinando.com/en/People/image/795566', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/80x80/prod/company/2385097.png?width=80&height=80&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Frederik AAGAARD HEMMINGSEN,https://cinando.com/en/People/aagaard_hemmingsen_frederik_806922/Detail,"Sales Manager
Companies
People
Films
Festivals
News
JOB SEARCH
Home
TRUSTNORDISK
Frederik AAGAARD HEMMINGSEN
Find me","['https://cinando.com/en/People/image/806922', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Alexandra AAKERMAN,https://cinando.com/en/People/aakerman_alexandra_774349/Detail,"Companies
People
Films
Festivals
News
JOB SEARCH
Home
MAGNOLIA AGENCY
Alexandra AAKERMAN","['https://cinando.com/en/People/image/774349', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Peter AALBÆK JENSEN,https://cinando.com/en/People/aalbaek_jensen_peter_51200/Detail,"Executive Producer
Management, Production
Companies
People
Films
Festivals
News
JOB SEARCH
Home
ZENTROPA PRODUCTIONS
Peter AALBÆK JENSEN
Find me","['https://cinando.com/en/People/image/51200', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
Elisabeth AALMO,https://cinando.com/en/People/aalmo_elisabeth_753293/Detail,,
Lamia AAMOU,https://cinando.com/en/People/aamou_lamia_668069/Detail,"Présidente de la Commission Partenariats
Companies
People
Films
Festivals
News
JOB SEARCH
Home
GPF GROUPEMENT DU PATRONAT FRANCOPHONE
Lamia AAMOU
Find me","['https://cinando.com/en/People/image/668069', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FichePeopleNonLoggeDesc.png']"
cookie policy,https://cinando.com/res/PDF/CGU_en.pdf,,[]
