name,link,bio,image
+MULHERES LIDERANÇAS DO AUDIOVISUAL BRASILEIRO,https://cinando.com/en/Company/mulheres_liderancas_do_audiovisual_brasileiro_281292/Detail,"01429030 SÃO PAULO, BRAZIL
Publicity & Marketing
+Mulheres is a collaboration network of leading women within the Brazilian Audiovisual Industry who work together towards a more diverse and inclusive sector.

We focus on expanding the participation of women, in all its diversity, in the Brazilian audiovisual sector through events, courses and a number of different actions to impact the sector on the importance of having women leading the narratives.","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
"0.35 ANIMATION COMMUNICATION CO., LTD",https://cinando.com/en/Company/035_animation_communication_co_ltd_276831/Detail,"SHENZHEN GUANGDONG, CHINA
Production Company","['https://dauvsy92u4wdt.cloudfront.net/fit-in/286x286/prod/company/2068044.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
010 FILMS,https://cinando.com/en/Company/010_films_245293/Detail,"16121 GENOVA, ITALY","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
06 MÉDIA,https://cinando.com/en/Company/06_media_280584/Detail,"06150 CANNES, FRANCE
Production Company
Services
Consulting
Interactive & New Media
06 Média is a boutique creative agency and production service company based at Cannes - Bastide Rouge campus. We produce new media films and web videos in-house, and provide production support for foreign counterparts in the French Riviera with a focus on English-speaking and Indian productions.
Location, Fixing, Crew Hire & Gear Rental. Connect for any local assistance required in the south of France.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/286x286/prod/company/2142353.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/1200x400/prod/company/2142348.jpg?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
1 ACTIVE COMPANY LIMITED,https://cinando.com/en/Company/1_active_company_limited_292814/Detail,10510 THAILAND,"['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
1 LIFE PRODUCTION,https://cinando.com/en/Company/1_life_production_264180/Detail,"1180 BRUSSELS, BELGIUM
Production Company
We believe in the power of narration. We tell stories to make an impact, to raise awareness, to inspire action towards the common good. 1Life production is an independent film production company dedicated to producing feature films for international distribution.

“LIBERTY is a powerful, deeply human thriller that goes beyond the animal cause and stands against all forms of injustice.”","['https://dauvsy92u4wdt.cloudfront.net/fit-in/286x286/prod/company/2075652.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/1200x400/prod/company/2075668.jpg?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
1 PRODUCTION FILM CO.,https://cinando.com/en/Company/1_production_film_co_246692/Detail,"500 TAIPEI CITY, TAIWAN
Production Company","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
1.21GW,https://cinando.com/en/Company/121gw_159088/Detail,"1419 BUENOS AIRES, ARGENTINA
Production Company","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
10 BY TEN,https://cinando.com/en/Company/10_by_ten_283962/Detail,"LOS ANGELES, USA","['https://cinando.com/Content/images/noimg_company.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://cinando.com/Content/images/pixel_gris.gif?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
10 X 10 STUDIOS,https://cinando.com/en/Company/10_x_10_studios_253750/Detail,"90630 CYPRESS, USA
Production Company
Built with 10ft x 10ft measurements in her backyard, writer/producer Kay Tuxford created a work space where films, no matter how small, can be created. 10 x 10’s mission statement is to focus on small, micro-budget stories for independent film that leave us forever changed
After successfully producing several film shorts, we are now in pre-production and fundraising for 10 x 10's first feature film, Delivery. 

Delivery will be shot on the iPhone 13 in the vain of Tangerine, focusing on the life of a gig worker, a food delivery driver trying to make her weekend quota in order to have enough money to rescue someone she loves.","['https://dauvsy92u4wdt.cloudfront.net/fit-in/286x286/prod/company/1855357.png?width=286&height=286?width=286&height=286&404=noimg_company.png', 'https://dauvsy92u4wdt.cloudfront.net/fit-in/1200x400/prod/company/1855356.jpg?width=1200&height=400&404=pixel_gris.gif', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos1.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeInfos2.png', 'https://cinando.com/Content/images/NonLogge/FicheSocieteNonLoggeGraphs.png']"
